Time, Loudness
0,0029523,0
2,1091239,0,02526535
4,1092562,0,9486865
6,1096949,0,03235921
8,1110333,1,838978
10,1135548,0,1245905
12,1140629,0,1276573
14,1157281,0,1117405
16,1244241,0,04532378
18,1258959,1,146769
20,136267,0,06054353
22,1375469,1,269337
24,1399006,0,05150357
26,1420894,0,05247325
28,1427982,0,3602037
30,1548301,0,05466594
32,1546553,0,04620412
34,1554786,0,1951415
36,1588733,0,04255478
38,1608026,0,0439905
40,1707431,0,0648625
42,1734639,0,03232653
44,1730701,0,04774277
46,1835583,0,1570018
