Time, Loudness
0,0019609,0
1,2339087,0,0844314
2,2343964,1,448491
3,235282,0,2469823
4,2390583,3,675329E-05
5,2417276,3,645702E-05
6,2437252,3,700702E-05
7,2441593,5,55445E-05
8,2441167,7,321667E-05
9,2466535,4,557128E-05
10,249454,7,338056E-05
11,2502288,1,822851E-05
12,2520061,0,0001188073
13,2532943,3,645702E-05
14,2553672,9,138435E-05
15,2559375,0,0001003945
16,2556459,7,304459E-05
17,2591506,7,062589E-05
18,2604264,7,291405E-05
19,2614531,8,281857E-05
20,2639576,9,167754E-05
21,2673148,6,401394E-05
22,2670163,5,468553E-05
23,3517994,4,613745E-05
24,3531534,3,744651E-05
25,3529935,4,602909E-05
26,3544404,6,379979E-05
27,3544518,4,206813E-05
28,3566491,7,356807E-05
29,3575866,5,623034E-05
30,3571144,0,0001002568
31,3595109,0,0001009417
